run,arm,panel,setting,rule,sr_is,sr_oos,decay
OPTM-SYN0-05-s9002,OPT-medium,SYN0-05,SYN0,chosen,1.0039537114622985,1.4975140758697356,-0.4935603644074371
OPTM-SYN0-05-s9002,OPT-medium,SYN0-05,SYN0,argmax,1.0039537114622985,1.4975140758697356,-0.4935603644074371
OPTM-SYN0-06-s9000,OPT-medium,SYN0-06,SYN0,chosen,1.199283040632495,1.9739032711549092,-0.7746202305224141
OPTM-SYN0-06-s9000,OPT-medium,SYN0-06,SYN0,argmax,1.199283040632495,1.9739032711549092,-0.7746202305224141
OPTM-SYN0-06-s9001,OPT-medium,SYN0-06,SYN0,chosen,1.1846238862105436,1.7930826264234192,-0.6084587402128756
OPTM-SYN0-06-s9001,OPT-medium,SYN0-06,SYN0,argmax,1.1846238862105436,1.7930826264234192,-0.6084587402128756
OPTM-SYN0-06-s9002,OPT-medium,SYN0-06,SYN0,chosen,1.953586499051155,-0.5490199982022091,2.502606497253364
OPTM-SYN0-06-s9002,OPT-medium,SYN0-06,SYN0,argmax,1.953586499051155,-0.5490199982022091,2.502606497253364
OPTM-SYN0-07-s9000,OPT-medium,SYN0-07,SYN0,chosen,1.8779918597070382,0.9916417808713899,0.8863500788356483
OPTM-SYN0-07-s9000,OPT-medium,SYN0-07,SYN0,argmax,1.8779918597070382,0.9916417808713899,0.8863500788356483
OPTM-SYN0-07-s9001,OPT-medium,SYN0-07,SYN0,chosen,1.232659040042112,-0.23135817337795792,1.46401721342007
OPTM-SYN0-07-s9001,OPT-medium,SYN0-07,SYN0,argmax,1.232659040042112,-0.23135817337795792,1.46401721342007
OPTM-SYN0-07-s9002,OPT-medium,SYN0-07,SYN0,chosen,1.7355280448712707,0.4649459879992368,1.2705820568720338
OPTM-SYN0-07-s9002,OPT-medium,SYN0-07,SYN0,argmax,1.7355280448712707,0.4649459879992368,1.2705820568720338
OPTM-SYN0-08-s9000,OPT-medium,SYN0-08,SYN0,chosen,1.8276021562447151,-0.6392495654082513,2.4668517216529664
OPTM-SYN0-08-s9000,OPT-medium,SYN0-08,SYN0,argmax,1.8276021562447151,-0.6392495654082513,2.4668517216529664
OPTM-SYN0-08-s9001,OPT-medium,SYN0-08,SYN0,chosen,1.833846848476915,0.9256382656810449,0.9082085827958701
OPTM-SYN0-08-s9001,OPT-medium,SYN0-08,SYN0,argmax,1.833846848476915,0.9256382656810449,0.9082085827958701
OPTM-SYN0-08-s9002,OPT-medium,SYN0-08,SYN0,chosen,2.1204438217611767,1.3653035754994103,0.7551402462617665
